Row ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Region,Category,Sub-Category,Cost (US dollar),Quantity,Cost-per-piece,Wait-Duration
56,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,34.76,1
57,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,6.48,1
58,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,63.882,1
59,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,7.28,1
60,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,30,2,15,1
61,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,12.12,1
62,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,1.68,1
63,2015-11-24,2015-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,6.99,6
64,2015-11-24,2015-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,6,4.304,6
65,2015-11-24,2015-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,48.91,6
66,2015-11-24,2015-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,19.94,6
67,2015-04-30,2015-05-05,Standard Class,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,42.623,5
68,2014-12-05,2014-12-10,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,139.128,5
69,2014-12-05,2014-12-10,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,4,41.992,5
70,2016-06-04,2016-06-06,First Class,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,37.94,2
71,2016-09-18,2016-09-23,Standard Class,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders,4.616,1,4.616,5
72,2017-09-14,2017-09-17,Second Class,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,6.35,3
73,2015-04-26,2015-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,103.992,6
74,2015-04-26,2015-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,48.52,6
75,2015-04-26,2015-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784,1,72.784,6
76,2017-12-09,2017-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.416,2
77,2017-12-09,2017-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,3.236,2
78,2017-12-09,2017-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,9.08,2
79,2014-11-26,2014-12-01,Second Class,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,3.86,5
80,2016-06-12,2016-06-15,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,208.16,3
81,2016-06-12,2016-06-15,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,5.58,3
82,2014-10-12,2014-10-16,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,2.98,4
83,2014-10-12,2014-10-16,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,21.39,4
84,2015-09-03,2015-09-08,Standard Class,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,28.712,5
85,2017-11-13,2017-11-16,First Class,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,76.792,3
86,2017-05-28,2017-05-30,Second Class,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,150.98,2
87,2017-10-26,2017-11-02,Standard Class,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,19.99,7
88,2017-10-26,2017-11-02,Standard Class,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,3.08,7
89,2016-04-05,2016-04-10,Second Class,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,7,22.624,5
90,2016-09-17,2016-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,6.7,5
91,2016-09-17,2016-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2,36.792,5
92,2016-09-17,2016-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,6.48,5
93,2015-01-31,2015-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,6.48,5
94,2015-01-31,2015-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,17.78,5
95,2015-01-31,2015-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,16.48,5
96,2017-11-06,2017-11-12,Standard Class,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,1,5.682,6
97,2017-11-09,2017-11-11,Second Class,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,13.79,2
98,2017-06-17,2017-06-20,First Class,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,3,17.104,3
99,2016-09-06,2016-09-11,Standard Class,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,12.98,5
100,2016-08-29,2016-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,9.232,4
101,2016-08-29,2016-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,3,31.992,4
102,2016-08-29,2016-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.596,4
103,2016-12-01,2016-12-04,Second Class,Gary Zandusky,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,5.98,3
104,2015-11-13,2015-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,6,39.816,4
105,2015-11-13,2015-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,34.12,4
106,2015-11-13,2015-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,12.294,4
107,2017-11-23,2017-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,9.264,5
108,2017-11-23,2017-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.992,1,27.992,5
109,2017-11-23,2017-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,3.304,5
110,2015-10-15,2015-10-20,Standard Class,Pete Armstrong,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,67.992,5
111,2017-12-25,2017-12-30,Standard Class,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,20.98,5
112,2016-11-03,2016-11-10,Standard Class,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,37.98,7
113,2016-11-03,2016-11-10,Standard Class,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,4.54,7
114,2014-08-25,2014-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,2.864,2
115,2014-08-25,2014-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,2.36,2
116,2014-08-25,2014-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,7.992,2
117,2014-08-25,2014-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,21.744,2
118,2015-03-02,2015-03-06,Standard Class,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,262.51,4
120,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,15.68,3
121,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,7.71,3
122,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,37.76,3
123,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,12.78,3
124,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,7,9.72,3
125,2014-12-26,2014-12-28,Second Class,Alan Dominguez,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,3,200.186,2
126,2014-09-20,2014-09-25,Standard Class,Philip Fox,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,102.95,5
127,2017-11-05,2017-11-12,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,1.194,7
128,2017-11-05,2017-11-12,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7,34.856,7
129,2016-11-06,2016-11-10,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2,40.712,4
130,2016-11-06,2016-11-10,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,79.52,4
131,2017-02-02,2017-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,11.994,3
132,2017-02-02,2017-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,39.152,3
133,2017-02-02,2017-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,2.384,3
134,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,6.68,6
135,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,35.44,6
136,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,2.88,6
137,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,2.01,6
138,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,3,25.392,6
139,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,10.98,6
140,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,3.08,6
141,2016-09-05,2016-09-07,Second Class,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,41.4,2
142,2017-09-18,2017-09-23,Standard Class,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,2.94,5
143,2017-09-18,2017-09-23,Standard Class,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,3.62,5
144,2017-09-18,2017-09-23,Standard Class,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,3,47.9,5
145,2017-12-22,2017-12-27,Standard Class,Sandra Glassco,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,279.81,5
146,2015-09-07,2015-09-12,Standard Class,Helen Andreada,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,7,95.99,5
147,2014-10-22,2014-10-28,Standard Class,Maureen Gastineau,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,4,23.472,6
148,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,34.95,4
149,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,49.99,4
150,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,243.98,4
151,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,34.31,4
152,2016-03-13,2016-03-16,First Class,Tamara Willingham,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,31.584,3
153,2016-03-13,2016-03-16,First Class,Tamara Willingham,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.184,2,101.592,3
154,2015-05-31,2015-06-02,First Class,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,8.34,2
155,2015-05-31,2015-06-02,First Class,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,26.38,2
156,2015-05-31,2015-06-02,First Class,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,13.48,2
157,2015-05-28,2015-06-03,Standard Class,Neil Knudson,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,2.21,6
158,2014-03-01,2014-03-06,Second Class,Dave Brooks,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2,228.784,5
159,2016-11-20,2016-11-24,Standard Class,Nora Paige,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,7.31,4
160,2016-11-20,2016-11-24,Standard Class,Nora Paige,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,134.99,4
161,2016-05-11,2016-05-12,First Class,Ted Trevino,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,5.98,1
162,2015-12-28,2015-12-31,Second Class,Eric Murdock,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,27.192,3
163,2016-11-16,2016-11-20,Standard Class,Ruben Dartt,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,5.68,4
164,2016-11-07,2016-11-11,Standard Class,Max Jones,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2,13.84,4
165,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,3.312,4
166,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.952,8,1019.994,4
167,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3,91.976,4
168,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,193.34,4
169,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,6,5.344,4
170,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5,35.596,4
171,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,3,47.992,4
172,2014-08-05,2014-08-09,Standard Class,Chad Sievert,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,3,6.98,4
173,2014-08-05,2014-08-09,Standard Class,Chad Sievert,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,2,55.48,4
174,2014-08-05,2014-08-09,Standard Class,Chad Sievert,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,7,48.592,4
175,2014-09-14,2014-09-19,Standard Class,Jennifer Braxton,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,2,26.224,5
176,2014-09-14,2014-09-19,Standard Class,Jennifer Braxton,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,4,5.04,5
177,2017-04-21,2017-04-25,Second Class,Shirley Jackson,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,4,24.316,4
178,2015-11-21,2015-11-23,Second Class,Joel Eaton,Consumer,Newark,Ohio,East,Furniture,Chairs,396.802,7,56.686,2
179,2015-11-21,2015-11-23,Second Class,Joel Eaton,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,5,3.176,2
180,2015-12-15,2015-12-19,Standard Class,Jim Kriz,Home Office,New York City,New York,East,Office Supplies,Art,3.28,1,3.28,4
181,2014-12-05,2014-12-09,Second Class,David Kendrick,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,2,12.408,4
182,2014-12-05,2014-12-09,Second Class,David Kendrick,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,7,58.392,4
183,2014-11-19,2014-11-24,Second Class,Robert Marley,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,4,125.99,5
184,2014-11-19,2014-11-24,Second Class,Robert Marley,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,5,29.99,5
185,2014-11-19,2014-11-24,Second Class,Robert Marley,Home Office,Monroe,Louisiana,South,Technology,Accessories,29,2,14.5,5
186,2016-11-28,2016-12-02,Standard Class,Sally Knutson,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2,3.58,4
187,2014-08-26,2014-08-30,Standard Class,Frank Merwin,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,22.1,4
188,2016-07-16,2016-07-22,Standard Class,Alice McCarthy,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224,3,12.408,6
189,2016-07-16,2016-07-22,Standard Class,Alice McCarthy,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,3,6.672,6
190,2015-10-12,2015-10-14,First Class,Mark Packer,Home Office,New York City,New York,East,Furniture,Bookcases,899.136,4,224.784,2
191,2015-10-12,2015-10-14,First Class,Mark Packer,Home Office,New York City,New York,East,Technology,Phones,71.76,6,11.96,2
192,2015-10-12,2015-10-14,First Class,Mark Packer,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,8,6.48,2
193,2015-10-12,2015-10-14,First Class,Mark Packer,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,3,208.784,2
194,2015-10-12,2015-10-14,First Class,Mark Packer,Home Office,New York City,New York,East,Office Supplies,Art,19.9,5,3.98,2
195,2015-10-31,2015-11-06,Standard Class,Mary Zewe,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,7,2.04,6
196,2014-03-21,2014-03-25,Standard Class,Cassandra Brandow,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.408,2,3.704,4
197,2014-03-21,2014-03-25,Standard Class,Cassandra Brandow,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.048,3,2.016,4
198,2017-11-06,2017-11-13,Standard Class,Valerie Mitchum,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,3,15.42,7
199,2017-07-06,2017-07-13,Standard Class,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,2,1.473,7
200,2017-07-06,2017-07-13,Standard Class,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.056,3,5.352,7
201,2017-06-24,2017-06-29,Standard Class,Maria Bertelson,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,3,7.248,5
202,2014-08-03,2014-08-05,First Class,Bruce Stewart,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2,109.375,2
